"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.879639720E-1,-7.099500299E-1,6.895950317E0,7.131000519E0,9.945316899E0
2.904941240E-1,-7.530000210E-1,6.747000217E0,7.141050339E0,9.853102096E0
2.930242880E-1,-6.910500526E-1,6.757050514E0,7.213050365E0,9.907743305E0
2.955571340E-1,-4.800000191E-1,6.867000103E0,7.279950142E0,1.001916985E1
2.980845200E-1,-4.180500209E-1,6.919950485E0,7.210050106E0,1.000226490E1
3.006146720E-1,-4.729500115E-1,6.862050533E0,6.955950260E0,9.782467135E0
3.031448110E-1,-5.860500336E-1,6.706950188E0,6.691050529E0,9.491933030E0
3.056775030E-1,-6.600000262E-1,6.658950329E0,6.604050159E0,9.401632732E0
3.082048900E-1,-6.600000262E-1,6.667950153E0,6.772050381E0,9.526690172E0
3.107350420E-1,-4.729500115E-1,6.715950489E0,7.134000301E0,9.809262612E0
3.132651920E-1,-3.940500319E-1,6.820950508E0,7.339050293E0,1.002707836E1
3.157980380E-1,-6.070500016E-1,7.051050186E0,7.248000145E0,1.013011967E1
3.183254250E-1,-7.800000310E-1,6.946050167E0,7.167000294E0,1.001108916E1
3.208555760E-1,-7.609500289E-1,6.727950096E0,7.248000145E0,9.918561566E0
3.233857200E-1,-6.979500055E-1,6.793050289E0,7.240950108E0,9.953091223E0
3.259184130E-1,-6.859500408E-1,6.883950233E0,7.239000320E0,1.001311260E1
3.284457990E-1,-7.030500174E-1,6.805050373E0,7.150050163E0,9.895767138E0
3.309759510E-1,-7.009500265E-1,6.817050457E0,7.105050564E0,9.871436136E0
3.335060180E-1,-6.070500016E-1,6.867000103E0,7.090050220E0,9.889034950E0
3.360389410E-1,-3.919500113E-1,6.924000263E0,7.054950237E0,9.892811901E0
3.385663280E-1,-3.870000243E-1,7.035000324E0,6.850950241E0,9.827335233E0
3.410964800E-1,-5.070000291E-1,6.928950310E0,6.604050159E0,9.585451473E0
3.436264030E-1,-7.249500155E-1,6.619950294E0,6.469950199E0,9.284909801E0
3.461593260E-1,-7.290000319E-1,6.640050411E0,6.607050419E0,9.395468362E0
3.486867120E-1,-5.119500160E-1,6.786000252E0,7.021050453E0,9.777885339E0
3.512168640E-1,-3.510000110E-1,6.934050560E0,7.312950134E0,1.008382357E1
3.537469320E-1,-5.790000558E-1,7.003050327E0,7.248000145E0,1.009512066E1
3.562798550E-1,-7.990500331E-1,6.907950401E0,7.086000443E0,9.928225520E0
3.588072420E-1,-7.680000067E-1,6.769050121E0,7.054950237E0,9.807251725E0
3.613373940E-1,-7.939500213E-1,6.838050365E0,7.093050480E0,9.884364145E0
3.638673310E-1,-7.579500079E-1,6.919950485E0,7.131000519E0,9.965509085E0
3.664002540E-1,-7.050000429E-1,6.847950459E0,7.219950199E0,9.975927597E0
3.689276400E-1,-6.019500494E-1,6.850050449E0,7.311000347E0,1.003674554E1
3.714577920E-1,-5.670000315E-1,6.922050476E0,7.251000404E0,1.004058159E1
3.739878590E-1,-4.830000103E-1,6.903000355E0,7.165050507E0,9.961056755E0
3.765205520E-1,-4.369500279E-1,6.934050560E0,6.978000164E0,9.847053812E0
3.790481690E-1,-4.900500178E-1,6.928950310E0,6.753000259E0,9.687802327E0
